image_id,blip_caption,blip_finetuned_caption,git_caption,git_finetuned_caption,original_caption
0,a woman in a bikini top and bottom,a tropical tropical print cover these soft stretchy bikini bottom cut with a flattering high cut waistband,tropical palm tree bikini bottom in pink and green,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a ruched fold over waistband lends a retrro vibe to bikini bottom in a lusciously colored print that go best with glowing skin and warm sand
1,a woman wearing a black top and black pants,a soft and stretchy knit enhances the easygoing feel of this long sleeve tunic,black dress with a long neckline,a sleek and sophisticated silhouette defines a stylish italian loafer built from a stretchy blend,long side slit allow flowy motion in this elegant bateau neck tunic cut from a sustainably produced stretchy tencel lyocell that beautifully skim the body
2,a woman wearing a white t - shirt and blue jeans,a faded wash and faded stripe add vintage character to these slim straight leg jeans,person - i ' m in love with this!,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,vintage inspired pinstripe extend the throwback appeal of cropped jeans made from nonstretch denim with a waist accentuating high rise and tapered leg
3,a woman wearing a yellow jacket and white pants,a vibrant floral print is the signature of this drapey jacket in a drapey crepe cut,silk silk kimono with a floral pattern.,a bold plaid in a modern cut add to the laid back vibe of this sport tee,veronica etro s global travel inform the kaleidoscope of colorful pattern defining this kimono inspired silk twill top that revers to signature paisley
4,a woman wearing a black and gold dress,a halter neck neckline and a waist defining belt add a flattering twist to this sleeveless dress,black and white dress with a black bow in the back,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,lightweight crepe fabric give soft yet crisp structure to this cross neck halter top
5,a straw hat with a black band,a wide brimmed straw hat is a classic in a classic silhouette with a wide brim and a wide brim,straw hat in black,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a black ribbon trace this herringbone straw hat that block the sun and let in a little cool breeze
6,a man wearing a blue shirt and grey pants,a classic check grid pattern a handsome dress tee cut from pure silk and tailored in a comfortable fit from italy with a smart french placket and spread collar and rounded adjustable button cuff,a man in a blue shirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,stretchy moisture wicking fabric made with cooling mineral keep you comfortable all day in a crisp quick drying sport tee patterned in a neat check
7,a white and yellow card case with flowers,a signature double t medallion logo is stamped on the front of a leather card case with a signature signature patch at the flap,yellow leather wallet with flowers in a yellow leather case,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a slim calfskin leather case that ll lift your spirit every time you reach for your id or credit card is appliqu d with two embroidered daisy
8,a man wearing a pink and blue swimsuit,a tropical palm print splash against the ocean blue background of swim trunk cut from soft quick drying fabric for comfort in and out of the water,men ' s shorts in blue and pink,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,classic cut swim trunk made from smooth quick drying material in a vibrant 80 inspired palm print keep you comfortable with a soft mesh lining
9,a woman wearing a white dress with a pink floral print,a vintage inspired print of a vintage rose pattern this flowy shirtdress cut from soft and drapey silk and trimmed with a waist defining tie,pink dress with gold buttons in the front,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,frayed seam and sun faded print add to the carefree attitude of this oversized button down cut from a lightweight linen blend
10,a woman in a black dress with a slit,a ruffled hem enhances the figure flattering silhouette of this soft stretch crepe dress,long sleeved dress with a long skirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,dimensional palm frond fan across the bodice of a silk dress that turn up the heat with a thigh high slit
11,a woman in a gray shirt and blue leggings,a soft stretchy knit make this tee a comfortable a it is comfortable,gray t - shirt in a light gray t - shirt,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,perfect for any activity this fitted moisture wicking tee is designed with shirring at the side and a longer length for coverage
12,a woman wearing a purple dress,a flattering wrap dress with a flattering waistline is cut from soft stretch crepe with a waist defining tie at the waist,long sleeved dress in purple,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,ruched around the waist and gently gathered at the bodice this lustrous stretchy dress display elegant timeless style in flattering form
13,a black shoe with white soles and a white sole,a sporty sneaker with a cushioned arch support is made with a contoured footbed for all day comfort,the shoe is a classic in black and white.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,a bold contrast sole lift a casually charming derby built from supple suede with a cushion plus footbed for superior comfort
14,a woman in a blue sports bra bra bra bra bra bra bra bra bra bra bra bra bra bra bra,these soft stretchy legging are cut from a soft stretchy fabric for a comfortable fit,blue leggings for the office,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,a ribbed high band top these shapely legging that perfect your look in and out of the gym
15,a woman in a blue tie dye swimsuit,a soft and stretchy tie dye swimsuit is cut with a flattering high leg for a flattering fit,blue swimsuit with a white stripe and blue print in the middle,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,this swimsuit with laddered strap in back for added support feature cute tassel tie strap and inky tie dye color to complement sun kissed skin
16,a pair of sneakers with a snake skin pattern,a signature snake embossed pattern and neon accent add signature style to this italian made sneaker,i ' m not sure what these shoes are but i ' m not sure about them.,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,bold pattern and texture update an iconic bike toe sneaker crafted from soft leather with a double bumper cupsole adding signature grounding
17,a man in a black suit and black shoes,a classic blazer in a classic cut is tailored from pure italian wool in a classic silhouette,blazer with a black shirt,a sleek and sophisticated silhouette defines a stylish italian boot one - piece on a lugged sole,subtle texture mark a classic sport coat fashioned from wool that offer lightweight breathable comfort a well a natural stretch and wrinkle resistance
18,a pair of black shoes with a buckle,a signature t buckle detail the top of a stylish italian loafer crafted in supple leather,black leather shoe with a buckle,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a roller coaster clip buckle put the cutting edge brand s signature spin on a leather mule that s both sleek and super easy
19,a woman wearing a black blouse and jeans,a drapey blouse of soft crepe is cut with a flattering neckline and a waist defining tie at the waist,black blouse with a long sleeve,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,add a grace note to your outfit of the work or play day in a shirred blouse styled with a face framing v neck
20,a woman in a long dress with a bow,a gorgeous jewel tone gown is fashioned with a lace bodice and a mermaid skirt with a drapey sash that swish and sway with every step,long blue dress with lace trim and a long neckline.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,branching 3d petal bring striking texture and dimension to an enchanting figure skimming gown that fall gracefully to the floor
21,a man wearing a striped shirt and shorts,a classic stripe pattern in a classic color and pattern enriches the classic fit of a lightweight cotton blend t tee cut in a roomy fit with roomy comfort,"men ' s long sleeved striped shirt with short sleeves, a striped long sleeved shirt and a striped shirt",a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,keep your weekend style locked down with these relaxed and versatile chinos shorts
22,a woman in a dress with flowers on it,a floral print dress with a pretty fit and flare silhouette is cut from a soft stretch crepe blend for a flattering fit and flare silhouette,navy blue dress with a floral print in the front,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a swirling skater dress is covered in gorgeous botanical to create a party ready look that s totally toastable
23,a woman wearing a black jacket and black pants,a quilted jacket with a high stand collar and a detachable belt is made from a lightweight down fill with a touch of stretch for comfort,jacket with a hood from comma,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,this moncler favorite is reintroduced in water resistant nylon with the brand s exceptionally lightweight direct injected down fill
